=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.04 14:23:28 =~=~=~=~=~=~=~=~=~=~=~=
Millis: 45562, Voltage 1: 2.34V, Voltage 2: 1.23V
Millis: 45601, Voltage 1: 2.48V, Voltage 2: 1.26V
Millis: 45652, Voltage 1: 2.67V, Voltage 2: 1.27V
Millis: 45697, Voltage 1: 2.61V, Voltage 2: 1.27V
Millis: 45742, Voltage 1: 2.55V, Voltage 2: 1.30V
Millis: 45781, Voltage 1: 2.11V, Voltage 2: 1.26V
Millis: 45847, Voltage 1: 2.56V, Voltage 2: 1.28V
Millis: 45912, Voltage 1: 2.79V, Voltage 2: 1.33V
Millis: 45976, Voltage 1: 2.91V, Voltage 2: 1.30V
Millis: 46035, Voltage 1: 2.52V, Voltage 2: 1.26V
Millis: 46082, Voltage 1: 2.60V, Voltage 2: 1.28V
Millis: 46127, Voltage 1: 2.68V, Voltage 2: 1.27V
Millis: 46179, Voltage 1: 2.64V, Voltage 2: 1.28V
Millis: 46245, Voltage 1: 2.54V, Voltage 2: 1.28V
Millis: 46310, Voltage 1: 2.58V, Voltage 2: 1.26V
Millis: 46352, Voltage 1: 2.52V, Voltage 2: 1.27V
Millis: 46413, Voltage 1: 2.41V, Voltage 2: 1.40V
Millis: 46465, Voltage 1: 2.35V, Voltage 2: 1.26V
Millis: 46514, Voltage 1: 2.65V, Voltage 2: 1.30V
Millis: 46568, Voltage 1: 2.63V, Voltage 2: 1.29V
Millis: 46617, Voltage 1: 2.73V, Voltage 2: 1.29V
Millis: 46681, Voltage 1: 2.35V, Voltage 2: 1.24V
Millis: 46722, Voltage 1: 2.33V, Voltage 2: 1.23V
Millis: 46762, Voltage 1: 2.42V, Voltage 2: 1.25V
Millis: 46814, Voltage 1: 2.46V, Voltage 2: 1.25V
Millis: 46875, Voltage 1: 2.53V, Voltage 2: 1.27V
Millis: 46957, Voltage 1: 2.56V, Voltage 2: 1.29V
Millis: 47020, Voltage 1: 2.38V, Voltage 2: 1.24V
Millis: 47061, Voltage 1: 2.47V, Voltage 2: 1.42V
Millis: 47101, Voltage 1: 2.16V, Voltage 2: 1.22V
Millis: 47154, Voltage 1: 2.40V, Voltage 2: 1.24V
Millis: 47205, Voltage 1: 2.39V, Voltage 2: 1.24V
Millis: 47254, Voltage 1: 2.53V, Voltage 2: 1.27V
Millis: 47326, Voltage 1: 2.61V, Voltage 2: 1.25V
Millis: 47402, Voltage 1: 2.30V, Voltage 2: 1.23V
Millis: 47442, Voltage 1: 2.39V, Voltage 2: 1.24V
Millis: 47482, Voltage 1: 2.53V, Voltage 2: 1.25V
Millis: 47540, Voltage 1: 2.47V, Voltage 2: 1.26V
Millis: 47602, Voltage 1: 2.67V, Voltage 2: 1.28V
Millis: 47647, Voltage 1: 2.43V, Voltage 2: 1.24V
Millis: 47733, Voltage 1: 2.61V, Voltage 2: 1.48V
Millis: 47804, Voltage 1: 2.71V, Voltage 2: 1.30V
Millis: 47860, Voltage 1: 2.78V, Voltage 2: 1.30V
Millis: 47924, Voltage 1: 2.95V, Voltage 2: 1.32V
Millis: 47971, Voltage 1: 2.74V, Voltage 2: 1.29V
Millis: 48027, Voltage 1: 2.49V, Voltage 2: 1.26V
Millis: 48085, Voltage 1: 2.54V, Voltage 2: 1.27V
Millis: 48157, Voltage 1: 2.60V, Voltage 2: 1.29V
Millis: 48217, Voltage 1: 2.80V, Voltage 2: 1.32V
Millis: 48277, Voltage 1: 2.90V, Voltage 2: 1.29V
Millis: 48332, Voltage 1: 2.62V, Voltage 2: 1.28V
Millis: 48374, Voltage 1: 2.51V, Voltage 2: 1.50V
Millis: 48432, Voltage 1: 2.60V, Voltage 2: 1.28V
Millis: 48502, Voltage 1: 2.65V, Voltage 2: 1.28V
Millis: 48541, Voltage 1: 2.81V, Voltage 2: 1.31V
Millis: 48583, Voltage 1: 2.85V, Voltage 2: 1.32V
Millis: 48636, Voltage 1: 2.72V, Voltage 2: 1.30V
Millis: 48686, Voltage 1: 2.48V, Voltage 2: 1.26V
Millis: 48747, Voltage 1: 2.50V, Voltage 2: 1.26V
Millis: 48799, Voltage 1: 2.50V, Voltage 2: 1.26V
Millis: 48842, Voltage 1: 2.55V, Voltage 2: 1.27V
Millis: 48906, Voltage 1: 2.61V, Voltage 2: 1.26V
Millis: 48963, Voltage 1: 2.44V, Voltage 2: 1.25V
Millis: 49008, Voltage 1: 2.41V, Voltage 2: 1.50V
Millis: 49067, Voltage 1: 2.59V, Voltage 2: 1.28V
Millis: 49113, Voltage 1: 2.52V, Voltage 2: 1.25V
Millis: 49175, Voltage 1: 2.50V, Voltage 2: 1.26V
Millis: 49242, Voltage 1: 2.59V, Voltage 2: 1.26V
Millis: 49307, Voltage 1: 2.23V, Voltage 2: 1.21V
Millis: 49376, Voltage 1: 2.25V, Voltage 2: 1.23V
Millis: 49432, Voltage 1: 2.19V, Voltage 2: 1.21V
Millis: 49482, Voltage 1: 2.22V, Voltage 2: 1.23V
Millis: 49554, Voltage 1: 2.46V, Voltage 2: 1.23V
Millis: 49642, Voltage 1: 2.34V, Voltage 2: 1.45V
Millis: 49703, Voltage 1: 2.43V, Voltage 2: 1.24V
Millis: 49789, Voltage 1: 2.44V, Voltage 2: 1.27V
Millis: 49842, Voltage 1: 2.83V, Voltage 2: 1.31V
Millis: 49920, Voltage 1: 2.52V, Voltage 2: 1.27V
Millis: 49995, Voltage 1: 2.60V, Voltage 2: 1.29V
Millis: 50057, Voltage 1: 2.63V, Voltage 2: 1.28V
Millis: 50102, Voltage 1: 2.56V, Voltage 2: 1.29V
Millis: 50152, Voltage 1: 2.70V, Voltage 2: 1.29V
Millis: 50197, Voltage 1: 2.42V, Voltage 2: 1.26V
Millis: 50266, Voltage 1: 2.54V, Voltage 2: 1.45V
Millis: 50322, Voltage 1: 2.09V, Voltage 2: 1.27V
Millis: 50382, Voltage 1: 2.67V, Voltage 2: 1.28V
Millis: 50432, Voltage 1: 2.77V, Voltage 2: 1.31V
Millis: 50497, Voltage 1: 2.73V, Voltage 2: 1.32V
Millis: 50552, Voltage 1: 2.38V, Voltage 2: 1.26V
Millis: 50625, Voltage 1: 2.36V, Voltage 2: 1.23V
Millis: 50683, Voltage 1: 2.31V, Voltage 2: 1.22V
Millis: 50744, Voltage 1: 2.49V, Voltage 2: 1.25V
Millis: 50810, Voltage 1: 2.57V, Voltage 2: 1.30V
Millis: 50857, Voltage 1: 2.47V, Voltage 2: 1.26V
Millis: 50933, Voltage 1: 2.57V, Voltage 2: 1.50V
Millis: 50993, Voltage 1: 2.68V, Voltage 2: 1.29V
Millis: 51034, Voltage 1: 2.69V, Voltage 2: 1.30V
Millis: 51102, Voltage 1: 2.82V, Voltage 2: 1.31V
Millis: 51162, Voltage 1: 2.86V, Voltage 2: 1.27V
Millis: 51225, Voltage 1: 2.27V, Voltage 2: 1.24V
Millis: 51282, Voltage 1: 2.49V, Voltage 2: 1.25V
Millis: 51331, Voltage 1: 2.52V, Voltage 2: 1.27V
Millis: 51388, Voltage 1: 2.53V, Voltage 2: 1.27V
Millis: 51432, Voltage 1: 2.71V, Voltage 2: 1.30V
Millis: 51491, Voltage 1: 2.75V, Voltage 2: 1.30V
Millis: 51542, Voltage 1: 2.70V, Voltage 2: 1.27V
Millis: 51602, Voltage 1: 2.60V, Voltage 2: 1.36V
Millis: 51655, Voltage 1: 2.37V, Voltage 2: 1.25V
Millis: 51724, Voltage 1: 2.49V, Voltage 2: 1.25V
Millis: 51769, Voltage 1: 2.58V, Voltage 2: 1.27V
Millis: 51843, Voltage 1: 2.62V, Voltage 2: 1.25V
Millis: 51901, Voltage 1: 2.30V, Voltage 2: 1.24V
Millis: 51973, Voltage 1: 2.39V, Voltage 2: 1.25V
Millis: 52021, Voltage 1: 2.48V, Voltage 2: 1.24V
Millis: 52072, Voltage 1: 2.42V, Voltage 2: 1.23V
Millis: 52128, Voltage 1: 2.47V, Voltage 2: 1.24V
Millis: 52202, Voltage 1: 2.26V, Voltage 2: 1.23V
Millis: 52271, Voltage 1: 2.47V, Voltage 2: 1.44V
Millis: 52312, Voltage 1: 2.38V, Voltage 2: 1.27V
Millis: 52379, Voltage 1: 2.48V, Voltage 2: 1.28V
Millis: 52438, Voltage 1: 2.83V, Voltage 2: 1.30V
Millis: 52517, Voltage 1: 2.62V, Voltage 2: 1.27V
