=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.04 14:19:00 =~=~=~=~=~=~=~=~=~=~=~=
Millis: 364513, Voltage 1: 2.52V, Voltage 2: 0.97V
Millis: 364571, Voltage 1: 2.40V, Voltage 2: 0.96V
Millis: 364644, Voltage 1: 2.32V, Voltage 2: 0.96V
Millis: 364721, Voltage 1: 2.30V, Voltage 2: 0.95V
Millis: 364787, Voltage 1: 2.20V, Voltage 2: 0.96V
Millis: 364868, Voltage 1: 2.45V, Voltage 2: 0.95V
Millis: 364936, Voltage 1: 2.23V, Voltage 2: 1.01V
Millis: 365002, Voltage 1: 1.91V, Voltage 2: 0.96V
Millis: 365091, Voltage 1: 2.44V, Voltage 2: 0.97V
Millis: 365161, Voltage 1: 2.73V, Voltage 2: 0.96V
Millis: 365251, Voltage 1: 2.16V, Voltage 2: 0.95V
Millis: 365319, Voltage 1: 2.33V, Voltage 2: 0.95V
Millis: 365391, Voltage 1: 2.25V, Voltage 2: 0.95V
Millis: 365481, Voltage 1: 2.48V, Voltage 2: 0.95V
Millis: 365546, Voltage 1: 2.19V, Voltage 2: 0.96V
Millis: 365633, Voltage 1: 3.73V, Voltage 2: 0.95V
Millis: 365707, Voltage 1: 2.36V, Voltage 2: 0.96V
Millis: 365757, Voltage 1: 2.43V, Voltage 2: 0.95V
Millis: 365841, Voltage 1: 2.46V, Voltage 2: 0.94V
Millis: 365908, Voltage 1: 2.11V, Voltage 2: 0.94V
Millis: 365967, Voltage 1: 2.17V, Voltage 2: 0.93V
Millis: 366051, Voltage 1: 2.12V, Voltage 2: 0.94V
Millis: 366113, Voltage 1: 2.37V, Voltage 2: 0.95V
Millis: 366187, Voltage 1: 2.29V, Voltage 2: 0.94V
Millis: 366264, Voltage 1: 3.79V, Voltage 2: 0.93V
Millis: 366331, Voltage 1: 2.27V, Voltage 2: 0.96V
Millis: 366409, Voltage 1: 2.61V, Voltage 2: 0.97V
Millis: 366477, Voltage 1: 2.56V, Voltage 2: 0.95V
Millis: 366528, Voltage 1: 2.38V, Voltage 2: 0.94V
Millis: 366611, Voltage 1: 2.34V, Voltage 2: 0.95V
Millis: 366677, Voltage 1: 2.36V, Voltage 2: 0.95V
Millis: 366743, Voltage 1: 2.50V, Voltage 2: 0.94V
Millis: 366823, Voltage 1: 2.47V, Voltage 2: 0.94V
Millis: 366886, Voltage 1: 2.32V, Voltage 2: 0.96V
Millis: 366972, Voltage 1: 2.24V, Voltage 2: 0.95V
Millis: 367059, Voltage 1: 2.46V, Voltage 2: 0.97V
Millis: 367107, Voltage 1: 2.63V, Voltage 2: 0.97V
Millis: 367168, Voltage 1: 2.42V, Voltage 2: 0.95V
Millis: 367237, Voltage 1: 2.33V, Voltage 2: 0.95V
Millis: 367287, Voltage 1: 2.41V, Voltage 2: 0.96V
Millis: 367346, Voltage 1: 2.32V, Voltage 2: 0.95V
Millis: 367422, Voltage 1: 2.41V, Voltage 2: 0.96V
Millis: 367492, Voltage 1: 2.35V, Voltage 2: 0.95V
Millis: 367569, Voltage 1: 2.39V, Voltage 2: 1.03V
Millis: 367619, Voltage 1: 1.95V, Voltage 2: 0.94V
Millis: 367690, Voltage 1: 2.45V, Voltage 2: 0.96V
Millis: 367766, Voltage 1: 2.58V, Voltage 2: 0.96V
Millis: 367831, Voltage 1: 2.34V, Voltage 2: 0.96V
Millis: 367923, Voltage 1: 2.48V, Voltage 2: 0.95V
Millis: 367991, Voltage 1: 2.41V, Voltage 2: 0.95V
Millis: 368093, Voltage 1: 2.45V, Voltage 2: 0.96V
Millis: 368167, Voltage 1: 2.48V, Voltage 2: 0.95V
Millis: 368232, Voltage 1: 2.35V, Voltage 2: 0.96V
Millis: 368306, Voltage 1: 2.05V, Voltage 2: 0.95V
Millis: 368373, Voltage 1: 2.41V, Voltage 2: 0.98V
Millis: 368451, Voltage 1: 2.72V, Voltage 2: 0.97V
Millis: 368539, Voltage 1: 2.43V, Voltage 2: 0.95V
Millis: 368588, Voltage 1: 2.36V, Voltage 2: 0.96V
Millis: 368666, Voltage 1: 2.32V, Voltage 2: 0.95V
Millis: 368739, Voltage 1: 2.24V, Voltage 2: 0.95V
Millis: 368789, Voltage 1: 2.46V, Voltage 2: 0.97V
Millis: 368859, Voltage 1: 2.27V, Voltage 2: 0.96V
Millis: 368930, Voltage 1: 2.64V, Voltage 2: 0.97V
Millis: 368997, Voltage 1: 2.73V, Voltage 2: 0.97V
Millis: 369081, Voltage 1: 2.90V, Voltage 2: 0.99V
Millis: 369149, Voltage 1: 2.76V, Voltage 2: 0.97V
Millis: 369211, Voltage 1: 2.30V, Voltage 2: 0.96V
Millis: 369292, Voltage 1: 2.43V, Voltage 2: 0.95V
Millis: 369368, Voltage 1: 2.17V, Voltage 2: 0.95V
Millis: 369437, Voltage 1: 2.03V, Voltage 2: 0.95V
Millis: 369497, Voltage 1: 2.23V, Voltage 2: 0.93V
Millis: 369559, Voltage 1: 2.18V, Voltage 2: 0.94V
Millis: 369638, Voltage 1: 3.41V, Voltage 2: 0.95V
Millis: 369686, Voltage 1: 2.27V, Voltage 2: 0.95V
Millis: 369768, Voltage 1: 2.36V, Voltage 2: 0.96V
Millis: 369838, Voltage 1: 2.45V, Voltage 2: 0.95V
Millis: 369898, Voltage 1: 2.20V, Voltage 2: 0.94V
Millis: 369973, Voltage 1: 2.32V, Voltage 2: 0.93V
Millis: 370050, Voltage 1: 2.23V, Voltage 2: 0.95V
Millis: 370124, Voltage 1: 2.25V, Voltage 2: 0.95V
Millis: 370202, Voltage 1: 2.04V, Voltage 2: 0.94V
Millis: 370267, Voltage 1: 3.09V, Voltage 2: 0.95V
Millis: 370326, Voltage 1: 2.13V, Voltage 2: 0.94V
Millis: 370403, Voltage 1: 2.22V, Voltage 2: 0.95V
Millis: 370462, Voltage 1: 2.43V, Voltage 2: 0.99V
Millis: 370555, Voltage 1: 2.13V, Voltage 2: 0.94V
Millis: 370618, Voltage 1: 2.24V, Voltage 2: 0.95V
Millis: 370698, Voltage 1: 2.30V, Voltage 2: 0.96V
Millis: 370766, Voltage 1: 2.26V, Voltage 2: 0.96V
Millis: 370828, Voltage 1: 2.37V, Voltage 2: 0.95V
Millis: 370891, Voltage 1: 2.20V, Voltage 2: 0.95V
Millis: 370968, Voltage 1: 2.01V, Voltage 2: 0.95V
Millis: 371018, Voltage 1: 2.30V, Voltage 2: 0.95V
Millis: 371086, Voltage 1: 2.58V, Voltage 2: 0.96V
Millis: 371143, Voltage 1: 2.60V, Voltage 2: 0.95V
Millis: 371222, Voltage 1: 2.24V, Voltage 2: 0.96V
Millis: 371302, Voltage 1: 2.33V, Voltage 2: 0.95V
Millis: 371366, Voltage 1: 2.25V, Voltage 2: 0.96V
Millis: 371427, Voltage 1: 2.20V, Voltage 2: 0.95V
Millis: 371504, Voltage 1: 2.30V, Voltage 2: 0.95V
Millis: 371557, Voltage 1: 2.29V, Voltage 2: 0.94V
Millis: 371638, Voltage 1: 2.59V, Voltage 2: 0.96V
Millis: 371707, Voltage 1: 2.56V, Voltage 2: 0.97V
Millis: 371758, Voltage 1: 2.63V, Voltage 2: 0.96V
Millis: 371831, Voltage 1: 2.79V, Voltage 2: 0.96V
Millis: 371921, Voltage 1: 2.57V, Voltage 2: 0.97V
Millis: 371977, Voltage 1: 2.50V, Voltage 2: 1.01V
Millis: 372039, Voltage 1: 2.65V, Voltage 2: 0.97V
Millis: 372124, Voltage 1: 2.79V, Voltage 2: 0.97V
Millis: 372179, Voltage 1: 2.56V, Voltage 2: 1.00V
Millis: 372251, Voltage 1: 2.37V, Voltage 2: 1.04V
Millis: 372343, Voltage 1: 2.53V, Voltage 2: 0.98V
Millis: 372417, Voltage 1: 2.63V, Voltage 2: 0.97V
Millis: 372483, Voltage 1: 2.69V, Voltage 2: 0.96V
Millis: 372557, Voltage 1: 2.31V, Voltage 2: 0.95V
Millis: 372612, Voltage 1: 2.27V, Voltage 2: 0.94V
Millis: 372679, Voltage 1: 2.26V, Voltage 2: 0.94V
Millis: 372747, Voltage 1: 2.34V, Voltage 2: 0.96V
Millis: 372817, Voltage 1: 2.12V, Voltage 2: 0.94V
Millis: 372867, Voltage 1: 2.27V, Voltage 2: 1.03V
Millis: 372931, Voltage 1: 1.78V, Voltage 2: 0.93V
Millis: 373013, Voltage 1: 2.41V, Voltage 2: 0.96V
Millis: 373071, Voltage 1: 2.63V, Voltage 2: 0.97V
Millis: 373139, Voltage 1: 2.44V, Voltage 2: 0.95V
Millis: 373218, Voltage 1: 2.37V, Voltage 2: 0.96V
Millis: 373266, Voltage 1: 2.30V, Voltage 2: 0.95V
Millis: 373362, Voltage 1: 2.39V, Voltage 2: 0.99V
Millis: 373451, Voltage 1: 2.73V, Voltage 2: 0.97V
Millis: 373516, Voltage 1: 2.79V, Voltage 2: 1.07V
Millis: 373581, Voltage 1: 2.62V, Voltage 2: 0.97V
Millis: 373670, Voltage 1: 2.53V, Voltage 2: 0.97V
Millis: 373750, Voltage 1: 2.69V, Voltage 2: 0.96V
Millis: 373822, Voltage 1: 2.19V, Voltage 2: 0.95V
Millis: 373921, Voltage 1: 2.23V, Voltage 2: 0.95V
Millis: 374009, Voltage 1: 2.16V, Voltage 2: 0.96V
Millis: 374071, Voltage 1: 2.28V, Voltage 2: 0.94V
Millis: 374140, Voltage 1: 2.27V, Voltage 2: 0.95V
Millis: 374232, Voltage 1: 1.89V, Voltage 2: 0.95V
Millis: 374311, Voltage 1: 2.55V, Voltage 2: 0.96V
Millis: 374371, Voltage 1: 2.54V, Voltage 2: 0.96V
Millis: 374438, Voltage 1: 2.22V, Voltage 2: 0.95V
Millis: 374507, Voltage 1: 2.32V, Voltage 2: 0.94V
Millis: 374560, Voltage 1: 2.34V, Voltage 2: 0.93V
Millis: 374654, Voltage 1: 2.17V, Voltage 2: 0.94V
Millis: 374742, Voltage 1: 2.19V, Voltage 2: 0.94V
Millis: 374815, Voltage 1: 2.73V, Voltage 2: 0.93V
Millis: 374891, Voltage 1: 2.29V, Voltage 2: 0.95V
Millis: 374972, Voltage 1: 2.35V, Voltage 2: 0.95V
Millis: 375035, Voltage 1: 2.25V, Voltage 2: 0.93V
Millis: 375122, Voltage 1: 2.18V, Voltage 2: 0.95V
Millis: 375198, Voltage 1: 2.06V, Voltage 2: 0.95V
Millis: 375246, Voltage 1: 2.11V, Voltage 2: 0.94V
Millis: 375321, Voltage 1: 2.30V, Voltage 2: 0.94V
Millis: 375407, Voltage 1: 2.11V, Voltage 2: 1.03V
Millis: 375466, Voltage 1: 2.22V, Voltage 2: 0.94V
Millis: 375534, Voltage 1: 2.29V, Voltage 2: 0.95V
Millis: 375607, Voltage 1: 2.60V, Voltage 2: 0.95V
Millis: 375656, Voltage 1: 2.39V, Voltage 2: 0.95V
Millis: 375728, Voltage 1: 2.29V, Voltage 2: 0.95V
Millis: 375796, Voltage 1: 2.28V, Voltage 2: 0.95V
Millis: 375847, Voltage 1: 2.30V, Voltage 2: 0.95V
Millis: 375917, Voltage 1: 2.42V, Voltage 2: 0.95V
Millis: 375977, Voltage 1: 2.46V, Voltage 2: 0.95V
Millis: 376061, Voltage 1: 1.89V, Voltage 2: 0.96V
Millis: 376164, Voltage 1: 2.53V, Voltage 2: 1.03V
Millis: 376216, Voltage 1: 2.75V, Voltage 2: 0.98V
Millis: 376287, Voltage 1: 2.42V, Voltage 2: 0.95V
Millis: 376371, Voltage 1: 2.36V, Voltage 2: 0.95V
Millis: 376430, Voltage 1: 2.39V, Voltage 2: 0.97V
Millis: 376497, Voltage 1: 2.48V, Voltage 2: 0.96V
Millis: 376577, Voltage 1: 2.44V, Voltage 2: 0.96V
Millis: 376653, Voltage 1: 4.06V, Voltage 2: 0.94V
Millis: 376707, Voltage 1: 2.27V, Voltage 2: 0.95V
Millis: 376803, Voltage 1: 2.51V, Voltage 2: 0.97V
Millis: 376879, Voltage 1: 2.49V, Voltage 2: 0.95V
Millis: 376960, Voltage 1: 2.29V, Voltage 2: 0.95V
Millis: 377041, Voltage 1: 2.22V, Voltage 2: 0.95V
Millis: 377106, Voltage 1: 2.36V, Voltage 2: 0.94V
Millis: 377173, Voltage 1: 2.36V, Voltage 2: 0.93V
Millis: 377246, Voltage 1: 2.39V, Voltage 2: 0.97V
Millis: 377341, Voltage 1: 2.39V, Voltage 2: 0.95V
Millis: 377422, Voltage 1: 2.55V, Voltage 2: 0.96V
Millis: 377477, Voltage 1: 2.64V, Voltage 2: 0.97V
Millis: 377557, Voltage 1: 2.30V, Voltage 2: 0.96V
Millis: 377609, Voltage 1: 2.46V, Voltage 2: 0.94V
Millis: 377672, Voltage 1: 2.39V, Voltage 2: 0.95V
Millis: 377754, Voltage 1: 2.39V, Voltage 2: 1.00V
Millis: 377807, Voltage 1: 2.25V, Voltage 2: 0.94V
Millis: 377881, Voltage 1: 2.38V, Voltage 2: 1.09V
Millis: 377957, Voltage 1: 2.46V, Voltage 2: 0.95V
Millis: 378009, Voltage 1: 2.29V, Voltage 2: 0.95V
Millis: 378087, Voltage 1: 2.56V, Voltage 2: 0.96V
Millis: 378167, Voltage 1: 2.29V, Voltage 2: 0.96V
Millis: 378234, Voltage 1: 2.43V, Voltage 2: 0.95V
Millis: 378308, Voltage 1: 2.53V, Voltage 2: 0.95V
Millis: 378381, Voltage 1: 2.37V, Voltage 2: 0.96V
Millis: 378453, Voltage 1: 2.39V, Voltage 2: 0.94V
Millis: 378520, Voltage 1: 2.31V, Voltage 2: 0.98V
Millis: 378597, Voltage 1: 2.26V, Voltage 2: 0.96V
Millis: 378668, Voltage 1: 2.51V, Voltage 2: 0.96V
Millis: 378742, Voltage 1: 2.61V, Voltage 2: 0.98V
Millis: 378797, Voltage 1: 2.54V, Voltage 2: 0.95V
